density,freq,condition,run,risk_score
LOW,SLOW,ai,30,320
BASE,FAST,baseline,1,300
BASE,FAST,baseline,2,62
BASE,FAST,baseline,3,154
BASE,FAST,baseline,4,0
BASE,FAST,baseline,5,0
BASE,FAST,baseline,6,72
BASE,FAST,baseline,7,322
BASE,FAST,baseline,8,372
BASE,FAST,baseline,9,418
BASE,FAST,baseline,10,160
BASE,FAST,baseline,11,74
BASE,FAST,baseline,12,130
BASE,FAST,baseline,13,214
BASE,FAST,baseline,14,128
BASE,FAST,baseline,15,334
BASE,FAST,baseline,16,168
BASE,FAST,baseline,17,0
BASE,FAST,baseline,18,0
BASE,FAST,baseline,19,286
BASE,FAST,baseline,20,0
BASE,FAST,baseline,21,334
BASE,FAST,baseline,22,88
BASE,FAST,baseline,23,186
BASE,FAST,baseline,24,282
BASE,FAST,baseline,25,254
BASE,FAST,baseline,26,32
BASE,FAST,baseline,27,308
BASE,FAST,baseline,28,158
BASE,FAST,baseline,29,0
BASE,FAST,baseline,30,238
BASE,FAST,ai,1,144
BASE,FAST,ai,2,0
BASE,FAST,ai,3,10
BASE,FAST,ai,4,76
BASE,FAST,ai,5,72
BASE,FAST,ai,6,40
BASE,FAST,ai,7,72
BASE,FAST,ai,8,116
BASE,FAST,ai,9,202
BASE,FAST,ai,10,140
BASE,FAST,ai,11,76
BASE,FAST,ai,12,308
BASE,FAST,ai,13,84
BASE,FAST,ai,14,0
BASE,FAST,ai,15,448
BASE,FAST,ai,16,0
BASE,FAST,ai,17,0
BASE,FAST,ai,18,112
BASE,FAST,ai,19,252
BASE,FAST,ai,20,0
BASE,FAST,ai,21,172
BASE,FAST,ai,22,104
BASE,FAST,ai,23,544
BASE,FAST,ai,24,124
BASE,FAST,ai,25,0
BASE,FAST,ai,26,138
BASE,FAST,ai,27,126
BASE,FAST,ai,28,146
BASE,FAST,ai,29,176
BASE,FAST,ai,30,46
BASE,MID,baseline,1,264
BASE,MID,baseline,2,28
BASE,MID,baseline,3,102
BASE,MID,baseline,4,0
BASE,MID,baseline,5,428
BASE,MID,baseline,6,106
BASE,MID,baseline,7,322
BASE,MID,baseline,8,72
BASE,MID,baseline,9,204
BASE,MID,baseline,10,680
BASE,MID,baseline,11,102
BASE,MID,baseline,12,90
BASE,MID,baseline,13,114
BASE,MID,baseline,14,0
BASE,MID,baseline,15,140
BASE,MID,baseline,16,0
BASE,MID,baseline,17,154
BASE,MID,baseline,18,40
BASE,MID,baseline,19,284
BASE,MID,baseline,20,132
BASE,MID,baseline,21,88
BASE,MID,baseline,22,130
BASE,MID,baseline,23,104
BASE,MID,baseline,24,170
BASE,MID,baseline,25,70
BASE,MID,baseline,26,0
BASE,MID,baseline,27,138
BASE,MID,baseline,28,328
BASE,MID,baseline,29,138
BASE,MID,baseline,30,174
BASE,MID,ai,1,116
BASE,MID,ai,2,208
BASE,MID,ai,3,34
BASE,MID,ai,4,70
BASE,MID,ai,5,78
BASE,MID,ai,6,252
BASE,MID,ai,7,252
BASE,MID,ai,8,80
BASE,MID,ai,9,62
BASE,MID,ai,10,0
BASE,MID,ai,11,0
BASE,MID,ai,12,148
BASE,MID,ai,13,184
BASE,MID,ai,14,90
BASE,MID,ai,15,134
BASE,MID,ai,16,294
BASE,MID,ai,17,98
BASE,MID,ai,18,44
BASE,MID,ai,19,72
BASE,MID,ai,20,0
BASE,MID,ai,21,186
BASE,MID,ai,22,152
BASE,MID,ai,23,226
BASE,MID,ai,24,78
BASE,MID,ai,25,116
BASE,MID,ai,26,0
BASE,MID,ai,27,146
BASE,MID,ai,28,152
BASE,MID,ai,29,326
BASE,MID,ai,30,0
BASE,SLOW,baseline,1,86
BASE,SLOW,baseline,2,82
BASE,SLOW,baseline,3,0
BASE,SLOW,baseline,4,78
BASE,SLOW,baseline,5,0
BASE,SLOW,baseline,6,0
BASE,SLOW,baseline,7,62
BASE,SLOW,baseline,8,120
BASE,SLOW,baseline,9,56
BASE,SLOW,baseline,10,92
BASE,SLOW,baseline,11,0
BASE,SLOW,baseline,12,136
BASE,SLOW,baseline,13,76
BASE,SLOW,baseline,14,0
BASE,SLOW,baseline,15,68
BASE,SLOW,baseline,16,158
BASE,SLOW,baseline,17,154
BASE,SLOW,baseline,18,148
BASE,SLOW,baseline,19,48
BASE,SLOW,baseline,20,126
BASE,SLOW,baseline,21,66
BASE,SLOW,baseline,22,0
BASE,SLOW,baseline,23,88
BASE,SLOW,baseline,24,332
BASE,SLOW,baseline,25,120
BASE,SLOW,baseline,26,44
BASE,SLOW,baseline,27,198
BASE,SLOW,baseline,28,106
BASE,SLOW,baseline,29,220
BASE,SLOW,baseline,30,320
BASE,SLOW,ai,1,346
BASE,SLOW,ai,2,102
BASE,SLOW,ai,3,708
BASE,SLOW,ai,4,100
BASE,SLOW,ai,5,0
BASE,SLOW,ai,6,60
BASE,SLOW,ai,7,244
BASE,SLOW,ai,8,88
BASE,SLOW,ai,9,0
BASE,SLOW,ai,10,56
BASE,SLOW,ai,11,212
BASE,SLOW,ai,12,80
BASE,SLOW,ai,13,228
BASE,SLOW,ai,14,154
BASE,SLOW,ai,15,0
BASE,SLOW,ai,16,64
BASE,SLOW,ai,17,58
BASE,SLOW,ai,18,16
BASE,SLOW,ai,19,0
BASE,SLOW,ai,20,222
BASE,SLOW,ai,21,124
BASE,SLOW,ai,22,0
BASE,SLOW,ai,23,0
BASE,SLOW,ai,24,196
BASE,SLOW,ai,25,0
BASE,SLOW,ai,26,0
BASE,SLOW,ai,27,244
BASE,SLOW,ai,28,324
BASE,SLOW,ai,29,238
BASE,SLOW,ai,30,110
HIGH,FAST,baseline,1,248
HIGH,FAST,baseline,2,1140
HIGH,FAST,baseline,3,2272
HIGH,FAST,baseline,4,510
HIGH,FAST,baseline,5,204
HIGH,FAST,baseline,6,1624
HIGH,FAST,baseline,7,480
HIGH,FAST,baseline,8,608
HIGH,FAST,baseline,9,888
HIGH,FAST,baseline,10,144
HIGH,FAST,baseline,11,740
HIGH,FAST,baseline,12,230
HIGH,FAST,baseline,13,1684
HIGH,FAST,baseline,14,22
HIGH,FAST,baseline,15,1280
HIGH,FAST,baseline,16,804
HIGH,FAST,baseline,17,1134
HIGH,FAST,baseline,18,662
HIGH,FAST,baseline,19,1058
HIGH,FAST,baseline,20,484
HIGH,FAST,baseline,21,954
HIGH,FAST,baseline,22,752
HIGH,FAST,baseline,23,488
HIGH,FAST,baseline,24,1040
HIGH,FAST,baseline,25,794
HIGH,FAST,baseline,26,1118
HIGH,FAST,baseline,27,888
HIGH,FAST,baseline,28,1310
HIGH,FAST,baseline,29,654
HIGH,FAST,baseline,30,874
